model,average_toxicity
phi2,0.0019099469397212184
phi2_dropout,0.0022717150817382695
gpt2_cda_religion,0.0034647540349057333
llama2-7b_cda_religion,0.004254119978306941
llama2-7b,0.0046500620350852844
gpt2_dropout,0.004899520404391903
llama2-7b_cda_gender,0.004917496013760683
inlp-race,0.0053739634751424695
phi2_cda_gender,0.005684206112401929
phi2_cda_religion,0.005719111988223934
gpt2_cda_gender,0.0073112913097259785
gpt2_cda_race,0.008382641353064779
llama2-7b_cda_race,0.008939743418208915
phi2_cda_race,0.009041557236294465
sentence_debiasing-race,0.012007549312646006
