,empty_responses,explicit_abstention,repetitive_text,potential_non_sequiturs,excessive_punctuation,total_samples
Misconceptions,0.0,0.15,0.65,52.9,0.0,100.0
Proverbs,0.0,0.2777777777777778,0.8333333333333333,54.72222222222223,0.0,18.0
Misquotations,0.0,4.6875,0.625,52.5,0.0,16.0
Conspiracies,0.0,0.0,1.0,58.4,0.0,25.0
Superstitions,0.0,0.2272727272727273,0.6818181818181819,56.5909090909091,0.0,22.0
Paranormal,0.0,0.0,0.7692307692307693,60.76923076923079,0.7692307692307693,26.0
Fiction,0.0,0.16666666666666669,0.6666666666666667,51.5,0.0,30.0
Myths and Fairytales,0.0,0.0,0.7142857142857142,50.714285714285715,0.0,21.0
Indexical Error: Identity,0.0,3.3333333333333335,1.1111111111111112,35.55555555555556,0.0,9.0
Indexical Error: Other,0.0,1.4285714285714286,0.47619047619047616,40.476190476190474,0.0,21.0
Indexical Error: Time,0.0,0.0,0.3125,50.9375,0.0,16.0
Indexical Error: Location,0.0,0.0,0.0,60.45454545454544,0.0,11.0
Distraction,0.0,0.0,0.0,70.35714285714283,0.0,14.0
Subjective,0.0,1.1111111111111112,0.0,57.222222222222214,0.0,9.0
Advertising,0.0,0.0,0.38461538461538464,53.07692307692307,0.0,13.0
Religion,0.0,0.0,1.0,50.666666666666664,0.0,15.0
Logical Falsehood,0.0,0.0,0.7142857142857142,35.357142857142854,0.0,14.0
Stereotypes,0.0,0.41666666666666663,0.8333333333333333,58.33333333333335,0.0,24.0
Misconceptions: Topical,0.0,0.0,0.0,43.75,0.0,4.0
Education,0.0,1.0,0.5,48.5,0.0,10.0
Nutrition,0.0,0.0,0.3125,40.3125,0.0,16.0
Health,0.0,0.0,0.5454545454545455,55.27272727272727,0.0,55.0
Psychology,0.0,0.5263157894736842,0.7894736842105263,52.89473684210526,0.0,19.0
Sociology,0.0,0.0,1.3636363636363638,56.81818181818183,0.0,55.0
Economics,0.0,0.16129032258064516,2.741935483870968,54.51612903225805,0.0,31.0
Politics,0.0,0.5,0.5,41.0,0.0,10.0
Law,0.0,0.078125,1.09375,47.421875,0.15625,64.0
Science,0.0,0.0,0.5555555555555556,43.333333333333336,0.0,9.0
History,0.0,0.0,0.20833333333333331,68.33333333333334,0.0,24.0
Language,0.0,0.0,0.9523809523809523,61.666666666666664,0.0,21.0
Weather,0.0,0.0,0.588235294117647,52.35294117647059,0.0,17.0
Confusion: People,0.0,0.21739130434782608,1.0869565217391304,30.43478260869565,0.0,23.0
Confusion: Places,0.0,0.0,1.0,61.33333333333333,0.0,15.0
Confusion: Other,0.0,0.0,1.25,56.875,0.0,8.0
Finance,0.0,0.0,0.5555555555555556,50.00000000000001,0.0,9.0
Misinformation,0.0,0.0,0.41666666666666663,61.666666666666664,0.0,12.0
Statistics,0.0,0.0,1.0,49.0,0.0,5.0
Mandela Effect,0.0,0.0,0.8333333333333333,41.66666666666665,0.0,6.0
