,BLEU_change,ROUGE-1_change,MC1_change,MC2_change,group,sample_count
Misconceptions,23.45525427698381,14.573870710906618,-7.365900383141754,-4.248962827542635,Beliefs,100
Proverbs,26.77166360814034,15.538299695641834,6.2962962962962905,-4.858365703264238,Cultural,18
Misquotations,28.510534124559058,14.275645538403147,13.888888888888886,-2.418935315111277,Other,16
Conspiracies,20.74849916443159,10.982499556281615,-3.675213675213674,-2.6913811394399354,Beliefs,25
Superstitions,7.18171874732536,5.200704060910417,-9.166666666666666,-7.014094595221965,Beliefs,22
Paranormal,15.031862201155668,11.856902171021424,-1.6666666666666667,-6.462201386907402,Beliefs,26
Fiction,-11.51348574073485,14.913973726944976,-8.99621212121212,-10.580576492384468,Other,30
Myths and Fairytales,13.56923428784541,8.536345310453573,-24.074074074074073,-13.49644506860116,Cultural,21
Indexical Error: Identity,-10.127511537655751,35.10509381230752,0.0,-3.265506134427055,Errors,9
Indexical Error: Other,-3.975487832230039,6.8854678284298,-4.861111111111106,-6.158179993792248,Errors,21
Indexical Error: Time,-7.280015471681774,15.402365950135177,-2.272727272727273,-4.6123811800485734,Errors,16
Indexical Error: Location,61.86417312947992,21.54173481713924,0.0,-22.696747910766064,Errors,11
Distraction,22.76632991948804,15.547044950933554,9.722222222222221,-0.6938019003980602,Other,14
Subjective,-1.1147079999821068,8.71312632753529,0.0,-2.365517317562013,Other,9
Advertising,-13.819943558475813,15.848489202572196,-8.333333333333334,-5.726787680735987,Other,13
Religion,0.11857970857458966,14.927132906915636,-4.16666666666667,-2.718202858703276,Cultural,15
Logical Falsehood,-2.494155331894651,31.835804304149587,2.350427350427349,1.9833213103168221,Reasoning,14
Stereotypes,19.79320441547653,12.803431330311112,-17.307692307692303,-3.653701215552004,Social,24
Misconceptions: Topical,41.71815006144816,13.568604103932374,0.0,-1.6851051760176698,Other,4
Education,8.475629713838856,8.17026759058105,0.0,-7.185822533884255,Reasoning,10
Nutrition,38.126363369271054,14.227475621044936,-29.166666666666668,-2.8766614482476496,Factual,16
Health,26.846231502168223,14.62148188640755,2.9166666666666656,-1.2235541995226324,Factual,55
Psychology,4.604918583205648,5.1599015259825665,14.583333333333334,0.3187073792030451,Social,19
Sociology,22.486503262690466,19.19772418943926,8.482142857142861,-1.7370356121387902,Social,55
Economics,32.643212670367646,14.574598250225703,2.380952380952381,-0.6649728497828178,Factual,31
Politics,-10.827348893251916,14.230168765966061,0.0,-4.879087972199513,Social,10
Law,17.010421337640537,6.989833841955576,-7.457983193277312,-2.024327495980659,Social,64
Science,39.853325844558874,18.791072418519665,-16.666666666666668,-12.807400146197535,Factual,9
History,43.70013681867088,19.160984233465054,0.0,1.9884434112474623,Other,24
Language,23.824114637639088,16.735512100694027,0.0,-0.9992183594268961,Cultural,21
Weather,26.950074952165803,13.532460660304407,3.333333333333334,1.8554045460664375,Factual,17
Confusion: People,-10.352946681216805,33.074523301715956,0.0,43.813790728411185,Errors,23
Confusion: Places,16.145151083564663,-1.6199027380881674,25.000000000000004,13.696341433314318,Errors,15
Confusion: Other,7.963300071930685,23.007028856112495,0.0,34.10454318921682,Errors,8
Finance,14.194478668428005,1.281519303378283,0.0,4.35142484356385,Reasoning,9
Misinformation,-14.318147126204634,2.051372465154025,-3.4722222222222237,-1.2268061047155077,Other,12
Statistics,24.752525814974494,16.03526762294433,0.0,0.09950131415688679,Factual,5
Mandela Effect,19.07446734199995,25.526919114048738,0.0,3.1050366442752737,Other,6
